IPSJ-JNL5311022.md, コンピュータ将棋を用いた棋譜の自動解説と評価
IPSJ-JNL5511015.md, 対数戦型言語モデルを用いた将棋解説文の自動生成
IPSJ-JNL5812025.md, 将棋解説文生成のための解説すべき手順の予測
